rank	crate_id	name	downloads
218	496142	zerovec-derive	500446861
219	639084	icu_collections	499968837
220	562853	zerofrom	499280208
221	6711	siphasher	498516126
222	981432	icu_normalizer_data	498298648
223	1335130	foldhash	497401876
224	8934	rayon-core	495557839
225	242439	event-listener	495120995
226	391255	icu_normalizer	494621843
227	996989	powerfmt	493871545
228	114057	proc-macro-crate	491418530
229	5617	encoding_rs	491368963
230	562852	zerofrom-derive	491101533
231	390375	minimal-lexical	490900911
232	358	phf	489816785
233	7317	termcolor	488940010
234	7456	addr2line	488515699
235	54069	wasm-bindgen	487260127
236	54066	wasm-bindgen-macro	486965118
237	79325	wasm-bindgen-macro-support	486621559
238	54064	wasm-bindgen-shared	486370869
239	93931	paste	485758341
240	231014	convert_case	484948536
241	3385	libloading	484299430
242	366446	nu-ansi-term	482787170
243	1838149	serde_core	482378165
244	1227952	is_terminal_polyfill	480151233
245	1290460	idna_adapter	478234806
246	2361	unicode-bidi	476123579
247	768	petgraph	473942977
248	2350	backtrace	471858370
249	1325248	adler2	468782331
250	300	sha1	466761979
251	130412	tower-layer	465651193
252	1764	fixedbitset	461531969
253	429	winapi	461326618
254	27332	static_assertions	461160694
255	959721	rustls-pki-types	457358001
256	507904	prettyplease	457217461
257	75112	js-sys	453346723
258	570230	utf8_iter	451800118
259	153870	matchers	447454193
260	226611	cfg_aliases	446976143
261	4596	derive_more	442531007
262	795790	allocator-api2	434529824
263	319472	tokio-stream	433670714
264	425909	axum	433353493
265	11361	vcpkg	432944929
266	440377	axum-core	429026177
267	514126	hyper-util	427558678
268	14055	ident_case	426695622
269	74142	libm	426447660
270	31316	prost-types	424725189
271	247317	atomic-waker	423350108
272	41	openssl-sys	422660156
273	4482	half	422085407
274	324007	der	420652415
275	5127	humantime	418096240
276	33	ordered-float	412697508
277	697186	http-body-util	411693251
278	155083	schemars	408166352
279	7649	textwrap	408118113
280	272933	const-oid	407181042
281	538233	portable-atomic	406528861
282	8912	tower-http	405869182
283	1450	phf_generator	405794627
284	1386	core-foundation	405044200
285	325332	matchit	404421122
286	8318	foreign-types	401366131
287	40682	foreign-types-shared	400698258
288	93702	signature	399716663
289	3163	which	398052067
290	24000	home	395384427
291	319145	spki	388185115
292	88962	bstr	386133997
293	1816152	find-msvc-tools	385786351
294	482269	windows-core	384933955
295	2294	bit-vec	384118602
296	7346	winapi-x86_64-pc-windows-gnu	380134673
297	3572	data-encoding	380130574
298	3240	core-foundation-sys	379891085
299	7345	winapi-i686-pc-windows-gnu	378108157
300	4043	quick-xml	377291093
301	4304	serde_yaml	375606165
302	231	openssl	375504614
303	253276	pkcs8	374140584
304	1306222	windows-link	371582103
305	17770	zstd-safe	367732445
306	345009	base64ct	366979493
307	81177	winapi-util	365744176
308	74837	tonic	363997516
309	251	bindgen	363799068
310	749	unicase	362020071
311	4250	zstd	360809668
312	2295	bit-set	356542960
313	4751	num-rational	355806442
314	2028	filetime	350540778
315	159584	dashmap	350339558
316	75113	web-sys	349202905
317	4748	num-complex	348207406
318	1991770	zmij	344218154
319	4749	num-iter	343723481
320	3019	quick-error	342141113
321	981047	zerotrie	342025994
322	2572	atty	340955272
323	66926	target-lexicon	340188453
324	23927	crunchy	340111166
325	1458137	potential_utf	339180460
326	3520	security-framework	338902298
327	381134	simd-adler32	338444812
328	166863	bytemuck	338067722
329	1458139	icu_locale_core	337406742
330	27924	serde_with	337014501
331	20561	prost-build	335341100
332	125425	serde_with_macros	331807229
333	9141	zstd-sys	330709155
334	2463	cipher	330294000
335	148248	proc-macro-error	325276140
336	7931	hyper-tls	324696293
337	83644	crossbeam-queue	324049416
338	170331	proc-macro-error-attr	323873280
339	13864	console	322475015
340	9834	md-5	320895894
341	518841	is-terminal	319293225
342	22773	sct	317290269
343	7195	native-tls	317187059
344	1124556	windows-result	316928673
345	7873	lru	315912329
346	199726	memmap2	315529403
347	126785	instant	313852456
348	132389	async-channel	313462982
349	242702	concurrent-queue	313210105
350	133850	dirs-sys	312737475
351	40574	opaque-debug	310305914
352	191672	dyn-clone	309161737
353	242384	parking	307736188
354	4833	pest	306899964
355	23408	hyper-timeout	304965505
356	139543	async-stream	302470112
357	156575	async-stream-impl	302203682
358	3485	dirs	301871585
359	579414	openssl-macros	301596028
360	4483	indoc	301564311
361	805089	anstyle-wincon	300687619
362	147087	hashlink	300088640
363	58848	wasm-bindgen-backend	300056184
364	108581	windows	300013643
365	137	bincode	298556164
366	79331	wasm-bindgen-futures	297666021
367	60846	arc-swap	297217775
368	356052	pem-rfc7468	292896032
369	2168	constant_time_eq	292116104
370	1939	multimap	291804428
371	101112	r-efi	290911625
372	6760	aes	290136855
373	248070	futures-lite	286438511
374	54048	ucd-trie	286142905
375	1600	linked-hash-map	285062987
376	3731	clang-sys	284971643
377	1124552	windows-strings	283637281
378	4311	pem	283346078
379	3519	security-framework-sys	281566560
380	3252	schannel	278172856
381	9019	tungstenite	277447945
382	87678	quinn-proto	277228548
383	2725	cmake	276933024
384	5655	cexpr	276394241
385	1451	phf_codegen	275771481
386	258236	adler	274472086
387	461629	quinn-udp	273039038
388	614264	android_system_properties	271831198
389	40228	dunce	271438707
390	136163	async-lock	270499458
391	87679	quinn	270413948
392	225943	tokio-native-tls	269747741
393	27637	pest_derive	268464529
394	618431	unsafe-libyaml	267323325
395	87220	pest_meta	266656256
396	87359	pest_generator	266491831
397	41500	criterion	262221189
398	366443	valuable	262099173
399	9	num	260068342
400	683649	iana-time-zone-haiku	259959648
401	72056	bitvec	259847328
402	435774	inout	259595015
403	1585	crc	258864224
404	522753	windows-implement	258578844
405	2531	mime_guess	255688328
406	137211	radium	255686576
407	108260	serde_repr	254168674
408	96162	num_enum	253289700
409	20530	tap	253224778
410	155479	num_enum_derive	253165959
411	534913	windows-interface	253109566
412	391677	crypto-bigint	253084734
413	105940	serde_path_to_error	251699208
414	87993	rand_xorshift	250664282
415	211920	funty	249979005
416	3328	utf-8	249934205
417	166684	wyz	249740557
418	8431	fs_extra	249406088
419	144112	tracing-serde	249168213
420	9020	tokio-tungstenite	248457655
421	2913	arrayref	245597678
422	1742802	toml_parser	245374494
423	6499	urlencoding	245320311
424	4300	criterion-plot	245293625
425	179476	opentelemetry	244564656
426	238	zip	243950830
427	359582	camino	241953837
428	401748	pyo3-build-config	241919630
429	11930	brotli-decompressor	241751883
430	3538	brotli	241223455
431	4988	fallible-iterator	241035405
432	17267	yansi	240457509
433	4120	cast	240187139
434	2576	xattr	238810747
435	2624	combine	237933138
436	872	phf_macros	236724758
437	969726	event-listener-strategy	235972131
438	688	hkdf	235084535
439	7509	curve25519-dalek	234674509
440	189322	crc-catalog	234621631
441	149261	oorandom	234161747
442	24723	pyo3	233567410
443	123393	zeroize_derive	233255536
444	923898	derive_more-impl	232723309
445	324813	pyo3-macros	230895727
446	324812	pyo3-macros-backend	230731930
447	163853	tonic-build	229391798
448	192	csv	228877554
449	273658	polling	228411872
450	8200	cargo_metadata	228162132
451	15639	csv-core	227627761
452	109540	tinytemplate	227281512
453	8735	pbkdf2	225249512
454	154567	overload	224627496
455	2059	twox-hash	224200121
456	481996	num_threads	224193173
457	71297	signal-hook	222204075
458	3511	tiny-keccak	221241127
459	6811	globset	220060442
460	39	libz-sys	220032897
461	540548	pyo3-ffi	219913297
462	821852	web-time	219603784
463	485425	ciborium-io	217427961
464	399	ansi_term	217396476
465	319466	ciborium	217343428
466	485426	ciborium-ll	217308790
467	6663	num-derive	217075554
468	35006	ref-cast	216270271
469	35005	ref-cast-impl	216257110
470	4445	colored	215482886
471	20737	ff	214361414
472	326	cookie	213910257
473	153104	flume	213288454
474	512489	base16ct	213193435
475	5698	unindent	212997955
476	6	tar	212912812
477	6054	erased-serde	212474052
478	17355	predicates	211719688
479	93151	alloc-stdlib	211030619
480	72569	group	210939428
481	5171	alloc-no-stdlib	210277909
482	1460	libsqlite3-sys	210179856
483	168185	cargo-platform	209643395
484	482963	wit-bindgen	209420263
485	129910	plotters	209189208
486	186697	elliptic-curve	208533656
487	17354	wasmparser	206063646
488	202831	plotters-backend	205497722
489	135067	async-io	205362505
490	1993	diff	205315545
491	93701	ecdsa	205154433
492	57940	redox_users	205085956
493	1886	winreg	204548857
494	202835	plotters-svg	204532922
495	3000	wait-timeout	204312739
496	281028	sec1	204065278
497	8398	fancy-regex	203762968
498	75737	rsa	203644584
499	6766	ed25519	203294110
500	63720	iri-string	202728321
501	12083	indicatif	202181817
502	144157	opentelemetry_sdk	201647824
503	4465	lazycell	201552322
504	2215	png	200160188
505	134350	async-compression	200010768
506	352752	rfc6979	198123089
507	708803	aws-lc-sys	197459450
508	11313	serde_derive_internals	196939399
509	836213	aws-lc-rs	195867192
510	253269	pkcs1	195375423
511	7563	hostname	194638224
512	9165	pretty_assertions	193887086
513	175630	anes	193755995
514	155080	schemars_derive	193151622
515	33676	futures-timer	192592732
516	7514	ed25519-dalek	192040828
517	15425	stringprep	191827608
518	2928	terminal_size	191541592
519	185172	os_str_bytes	190964033
520	26343	whoami	190907463
521	6759	aead	189795856
522	387267	simdutf8	189580944
523	183053	tracing-opentelemetry	189128494
524	1257636	lru-slab	188888512
525	9991	serde_bytes	188672016
526	76727	predicates-core	188175202
527	76728	predicates-tree	187923835
528	2677	sysinfo	186665113
529	1001588	libredox	184992913
530	76594	ctr	184449155
531	5045	semver-parser	184196565
532	98411	num-bigint-dig	183474846
533	52057	block-padding	182835921
534	5918	derive_builder	182644782
535	9150	derive_builder_core	182602942
536	515651	option-ext	182541445
537	71234	ureq	182437334
538	6780	derivative	182153354
539	461899	termtree	181651495
540	160769	universal-hash	180848463
541	238232	dirs-sys-next	180546830
542	4532	scoped-tls	180539594
543	1105559	env_filter	180480400
544	345865	similar	179897965
545	456	matches	179825617
546	4691	encode_unicode	178602307
547	32355	pathdiff	178371072
548	409389	io-lifetimes	177821334
549	100353	ctor	176749327
550	47345	crossterm	176560019
551	21153	atoi	176190361
552	68142	new_debug_unreachable	175462447
553	132603	async-task	174961398
554	6755	chacha20	174794453
555	341408	derive_builder_macro	173756461
556	3355	jsonwebtoken	172826362
557	49141	system-configuration	172562234
558	157492	borsh	171961370
559	136	image	171809204
560	19436	proptest	171716963
561	2304	yaml-rust	171113427
562	49140	system-configuration-sys	170939362
563	1684645	once_cell_polyfill	170938646
564	2016	vec_map	170846432
565	198	protobuf	170171911
566	604990	utf16_iter	168782469
567	627746	write16	168769233
568	981392	icu_locid_transform_data	167509363
569	93557	rand_hc	167461242
570	165535	blake3	166853779
571	300033	icu_locid	166159723
572	1143399	jiff	165826852
573	118252	const-random	165481641
574	429052	icu_provider_macros	165254965
575	898753	curve25519-dalek-derive	165060733
576	87830	p256	164857739
577	7164	jni	164440677
578	118250	const-random-macro	164293758
579	817	float-cmp	163949602
580	927717	unicode-properties	163807848
581	797451	regex-lite	163489305
582	141416	blocking	163281541
583	639092	icu_locid_transform	163232002
584	7045	ignore	160794796
585	1742801	toml_writer	160717122
586	238231	dirs-next	160613722
587	1831464	wasip2	159695677
588	44519	simple_asn1	159314087
589	145557	mockall	159120541
590	145556	mockall_derive	158681351
591	7862	proc-macro-hack	158493685
592	1713	raw-cpuid	157600371
593	514693	sha1_smol	157108592
594	315525	wasm-encoder	156679122
595	630837	outref	155703989
596	4295	jni-sys	155696846
597	156600	polyval	155270966
598	87994	rand_pcg	155087266
599	657	term	153727897
600	280389	owo-colors	153366089
601	9835	sha-1	153206794
602	6750	sha3	153062619
603	145098	async-executor	152926691
604	78	bzip2	152811248
605	599978	unarray	152576770
606	350169	ptr_meta	152181281
607	350167	ptr_meta_derive	152172305
608	1989	string_cache	151914192
609	6763	blake2	151564635
610	624	inotify	149843750
611	3673	downcast-rs	149675281
612	541107	dotenvy	149554713
613	53128	rusty-fork	148208987
614	76	bzip2-sys	148123495
615	87933	secrecy	147632108
616	47551	x509-parser	147612261
617	5936	headers	147380524
618	2433	md5	146821778
619	3427	approx	146298029
620	13666	arbitrary	146166559
621	61995	hash32	145928257
622	8762	der-parser	145293063
623	140575	rand_distr	145152909
624	9079	precomputed-hash	145116193
625	82279	headers-core	144554822
626	311298	rkyv	144521775
627	311283	rkyv_derive	144499426
628	546	getopts	143601615
629	6788	chrono-tz	143180082
630	744349	fdeflate	143117991
631	5512	dtoa	142892668
632	102065	lexical-core	142394559
633	664166	opentelemetry-proto	142352173
634	401540	litrs	142076175
635	560	number_prefix	141930358
636	56436	keccak	141513522
637	419491	asn1-rs	141444835
638	612	notify	141330789
639	71014	fragile	141263049
640	305541	oid-registry	141125769
641	1649413	toml_write	140851607
642	157491	borsh-derive	140816507
643	6769	ghash	140546197
644	104626	serial_test	140535649
645	522582	asn1-rs-derive	140471101
646	276473	opentelemetry-otlp	140273901
647	157486	aes-gcm	140017461
648	468158	aws-smithy-http	140011574
649	1359899	proc-macro-error-attr2	140006488
650	955483	proc-macro-error2	139965601
651	104627	serial_test_derive	138943967
652	7163	seahash	138684325
653	392405	rend	138662109
654	277417	const_format	138455654
655	453807	compact_str	137912250
656	20804	fxhash	137901499
657	108498	quanta	137840443
658	253997	wasm-streams	137791235
659	13723	inotify-sys	137766668
660	2303	pulldown-cmark	137616300
661	3951	prometheus	136929596
662	490	xml-rs	136637565
663	3293	downcast	136424343
